,id,textbook_link,course_id
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2289&subj=BSC&sec=201&course=304&term=202502,BSC304
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2290&subj=BSC&sec=202&course=304&term=202502,BSC304
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2291&subj=BSC&sec=201&course=320&term=202502,BSC320
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2293&subj=BSC&sec=201&course=322&term=202502,BSC322
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2294&subj=BSC&sec=202&course=322&term=202502,BSC322
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2295&subj=BSC&sec=203&course=322&term=202502,BSC322
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2296&subj=BSC&sec=201&course=324&term=202502,BSC324
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2297&subj=BSC&sec=202&course=324&term=202502,BSC324
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2298&subj=BSC&sec=203&course=324&term=202502,BSC324
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2299&subj=BSC&sec=201&course=332&term=202502,BSC332
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2300&subj=BSC&sec=201&course=332L&term=202502,BSC332L
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2301&subj=BSC&sec=202&course=332L&term=202502,BSC332L
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2302&subj=BSC&sec=201&course=334&term=202502,BSC334
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2303&subj=BSC&sec=201&course=334L&term=202502,BSC334L
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2304&subj=BSC&sec=202&course=334L&term=202502,BSC334L
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2305&subj=BSC&sec=201&course=340&term=202502,BSC340
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2306&subj=BSC&sec=201&course=417&term=202502,BSC417
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2307&subj=BSC&sec=202&course=417&term=202502,BSC417
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2308&subj=BSC&sec=201&course=421&term=202502,BSC421
